,date,winner,loser,wrank,lrank,b365w,b365l,surface,winner_is_p1,odd_p1,odd_p2
1371,2002-06-10,Johansson T.,Pretzsch A.,7,133,1.1,6.5,Grass,1,1.1,6.5
1372,2002-06-10,Kafelnikov Y.,Bjorkman J.,6,56,1.444,2.625,Grass,1,1.444,2.625
1374,2002-06-10,Koubek S.,Moya C.,41,20,2.625,1.444,Grass,0,1.444,2.625
1377,2002-06-10,Pavel A.,Stepanek R.,21,150,1.533,2.375,Grass,1,1.533,2.375
1380,2002-06-10,Sampras P.,Stoliarov A.,13,107,1.143,5.0,Grass,1,1.143,5.0
1382,2002-06-10,Schuettler R.,Novak J.,23,14,2.2,1.615,Grass,0,1.615,2.2
1384,2002-06-10,Youzhny M.,Santoro F.,67,32,1.8,1.909,Grass,1,1.8,1.909
1407,2002-06-10,Godwin N.,Gasquet R.,111,281,1.533,2.375,Grass,1,1.533,2.375
1409,2002-06-10,Lee H.T.,Larsson M.,117,142,2.625,1.444,Grass,0,1.444,2.625
1413,2002-06-10,Morrison J.,Ilie A.,98,176,1.571,2.25,Grass,1,1.571,2.25
1421,2002-06-10,Spadea V.,Llodra M.,73,103,2.0,1.727,Grass,0,1.727,2.0
1518,2002-06-24,Ancic M.,Federer R.,154,9,8.0,1.063,Grass,0,1.063,8.0
1523,2002-06-24,Canas G.,Kohlmann M.,17,112,1.125,5.5,Grass,1,1.125,5.5
1524,2002-06-24,Carraz G.,Mamiit C.,168,101,2.1,1.667,Grass,0,1.667,2.1
1525,2002-06-24,Chang M.,Burgsmuller L.,99,113,1.533,2.375,Grass,1,1.533,2.375
1526,2002-06-24,Clement A.,Montanes A.,38,57,1.143,5.0,Grass,1,1.143,5.0
1529,2002-06-24,Draper S.,Caratti C.,230,213,1.5,2.5,Grass,1,1.5,2.5
1534,2002-06-24,Gambill J.M.,Massu N.,58,65,1.143,5.0,Grass,1,1.143,5.0
1535,2002-06-24,Gaudio G.,Guzman J.P.,28,288,1.364,2.875,Grass,1,1.364,2.875
1537,2002-06-24,Henman T.,Bachelot J.F,5,165,1.03,10.0,Grass,1,1.03,10.0
1538,2002-06-24,Hewitt L.,Bjorkman J.,1,47,1.222,4.0,Grass,1,1.222,4.0
1539,2002-06-24,Kafelnikov Y.,Hrbaty D.,6,53,1.167,4.5,Grass,1,1.167,4.5
1541,2002-06-24,Knowle J.,Llodra M.,95,102,2.75,1.4,Grass,0,1.4,2.75
1542,2002-06-24,Koubek S.,Bower J.,41,268,1.667,2.1,Grass,1,1.667,2.1
1544,2002-06-24,Kratochvil M.,Davydenko N.,45,84,1.167,4.5,Grass,1,1.167,4.5
1545,2002-06-24,Labadze I.,El Aynaoui Y.,86,18,2.75,1.4,Grass,0,1.4,2.75
1546,2002-06-24,Lapentti N.,Delgado J.,27,157,1.444,2.625,Grass,1,1.444,2.625
1547,2002-06-24,Lee H.T.,Stoliarov A.,97,96,1.615,2.2,Grass,1,1.615,2.2
1548,2002-06-24,Ljubicic I.,Delgado R.,36,94,1.286,3.5,Grass,1,1.286,3.5
1549,2002-06-24,Lopez F.,Economidis K.,103,238,2.1,1.667,Grass,0,1.667,2.1
1551,2002-06-24,Martin A.,Galvani S.,59,106,1.286,3.5,Grass,1,1.286,3.5
1552,2002-06-24,Martin T.,Sanguinetti D.,40,48,1.25,3.75,Grass,1,1.25,3.75
1553,2002-06-24,Mathieu P.H.,Clavet F.,75,78,2.2,1.615,Grass,0,1.615,2.2
1554,2002-06-24,Morrison J.,Okun N.,98,110,1.533,2.375,Grass,1,1.533,2.375
1555,2002-06-24,Nalbandian D.,Sanchez D.,32,62,1.444,2.625,Grass,1,1.444,2.625
1556,2002-06-24,Nieminen J.,Mackin A.,42,355,1.222,4.0,Grass,1,1.222,4.0
1560,2002-06-24,Rochus O.,Rochus C.,64,85,1.5,2.5,Grass,1,1.5,2.5
1562,2002-06-24,Rosset M.,Acasuso J.,115,87,1.286,3.5,Grass,1,1.286,3.5
1563,2002-06-24,Rusedski G.,Melzer J.,39,105,1.071,7.5,Grass,1,1.071,7.5
1564,2002-06-24,Sa A.,Dupuis A.,90,92,2.375,1.533,Grass,0,1.533,2.375
1565,2002-06-24,Safin M.,Pioline C.,2,93,1.167,4.5,Grass,1,1.167,4.5
1567,2002-06-24,Santoro F.,Calleri A.,37,56,1.167,4.5,Grass,1,1.167,4.5
1568,2002-06-24,Saretta F.,Johansson T.,71,11,8.0,1.063,Grass,0,1.063,8.0
1569,2002-06-24,Sargsian S.,Vicente F.,73,55,1.333,3.25,Grass,1,1.333,3.25
1570,2002-06-24,Schalken S.,Pless K.,23,82,1.167,4.5,Grass,1,1.167,4.5
1571,2002-06-24,Schuettler R.,Arazi H.,24,46,1.667,2.1,Grass,1,1.667,2.1
1572,2002-06-24,Sluiter R.,Robredo T.,76,31,2.375,1.533,Grass,0,1.533,2.375
1575,2002-06-24,Stepanek R.,Saulnier C.,147,156,1.909,1.8,Grass,0,1.8,1.909
1578,2002-06-24,Voinea A.,Coutelot N.,63,91,1.5,2.5,Grass,1,1.5,2.5
1579,2002-06-24,Waske A.,Gaudenzi A.,158,70,1.615,2.2,Grass,1,1.615,2.2
1581,2002-06-24,Arthurs W.,Novak J.,89,12,1.533,2.375,Grass,1,1.533,2.375
1582,2002-06-24,Bastl G.,Sampras P.,145,13,8.0,1.063,Grass,0,1.063,8.0
1583,2002-06-24,Clement A.,Martin T.,38,40,3.0,1.364,Grass,0,1.364,3.0
1584,2002-06-24,Dent T.,Gambill J.M.,109,58,2.5,1.5,Grass,0,1.5,2.5
1585,2002-06-24,Escude N.,Rosset M.,33,115,1.4,2.75,Grass,1,1.4,2.75
1586,2002-06-24,Ferreira W.,Ljubicic I.,51,36,1.533,2.375,Grass,1,1.533,2.375
1587,2002-06-24,Henman T.,Draper S.,5,230,1.05,8.5,Grass,1,1.05,8.5
1588,2002-06-24,Hewitt L.,Carraz G.,1,168,1.04,9.0,Grass,1,1.04,9.0
1589,2002-06-24,Kafelnikov Y.,Thomann N.,6,237,1.1,6.5,Grass,1,1.1,6.5
1590,2002-06-24,Kiefer N.,Gonzalez F.,54,43,1.4,2.75,Grass,1,1.4,2.75
1591,2002-06-24,Knowle J.,Nieminen J.,95,42,2.5,1.5,Grass,0,1.5,2.5
1592,2002-06-24,Krajicek R.,Blake J.,1093,34,1.667,2.1,Grass,1,1.667,2.1
1593,2002-06-24,Kratochvil M.,Labadze I.,45,86,1.333,3.25,Grass,1,1.333,3.25
1594,2002-06-24,Lapentti N.,Cowan B.,27,251,1.533,2.375,Grass,1,1.533,2.375
1595,2002-06-24,Lopez F.,Canas G.,103,17,7.5,1.071,Grass,0,1.071,7.5
1596,2002-06-24,Malisse X.,Spadea V.,35,72,1.364,3.0,Grass,1,1.364,3.0
1597,2002-06-24,Morrison J.,Ferrero J.C.,98,8,2.625,1.444,Grass,0,1.444,2.625
1598,2002-06-24,Nalbandian D.,Mathieu P.H.,32,75,1.727,2.0,Grass,1,1.727,2.0
1599,2002-06-24,Pavel A.,Beck K.,21,210,1.167,4.5,Grass,1,1.167,4.5
1600,2002-06-24,Philippoussis M.,Enqvist T.,104,26,1.533,2.375,Grass,1,1.533,2.375
1601,2002-06-24,Rochus O.,Safin M.,64,2,7.0,1.083,Grass,0,1.083,7.0
1602,2002-06-24,Roddick A.,Martin A.,14,59,1.04,9.0,Grass,1,1.04,9.0
1603,2002-06-24,Rusedski G.,Lee H.T.,39,97,1.1,6.5,Grass,1,1.1,6.5
1604,2002-06-24,Sa A.,Koubek S.,90,41,2.25,1.571,Grass,0,1.571,2.25
1605,2002-06-24,Saretta F.,Waske A.,71,158,1.571,2.25,Grass,1,1.571,2.25
1606,2002-06-24,Schalken S.,Chang M.,23,99,1.167,4.5,Grass,1,1.167,4.5
1607,2002-06-24,Schuettler R.,Sargsian S.,24,73,1.5,2.5,Grass,1,1.5,2.5
1608,2002-06-24,Srichaphan P.,Agassi A.,67,4,9.0,1.04,Grass,0,1.04,9.0
1609,2002-06-24,Stepanek R.,Sluiter R.,147,76,2.75,1.4,Grass,0,1.4,2.75
1610,2002-06-24,Vacek J.,Ancic M.,80,154,2.75,1.4,Grass,0,1.4,2.75
1611,2002-06-24,Voinea A.,Santoro F.,63,37,2.75,1.4,Grass,0,1.4,2.75
1612,2002-06-24,Youzhny M.,Gaudio G.,61,28,1.364,3.0,Grass,1,1.364,3.0
1613,2002-06-24,Arthurs W.,Dent T.,89,109,1.667,2.1,Grass,1,1.667,2.1
1614,2002-06-24,Clement A.,Rochus O.,38,64,1.4,2.75,Grass,1,1.4,2.75
1615,2002-06-24,Henman T.,Ferreira W.,5,51,1.25,3.75,Grass,1,1.25,3.75
1616,2002-06-24,Hewitt L.,Knowle J.,1,95,1.04,9.0,Grass,1,1.04,9.0
1617,2002-06-24,Krajicek R.,Srichaphan P.,1093,67,1.5,2.5,Grass,1,1.5,2.5
1618,2002-06-24,Kratochvil M.,Stepanek R.,45,147,1.571,2.25,Grass,1,1.571,2.25
1619,2002-06-24,Lapentti N.,Pavel A.,27,21,2.375,1.533,Grass,0,1.533,2.375
1620,2002-06-24,Lopez F.,Schuettler R.,103,24,3.75,1.25,Grass,0,1.25,3.75
1621,2002-06-24,Malisse X.,Kafelnikov Y.,35,6,2.25,1.571,Grass,0,1.571,2.25
1622,2002-06-24,Nalbandian D.,Bastl G.,32,145,1.5,2.5,Grass,1,1.5,2.5
1623,2002-06-24,Philippoussis M.,Kiefer N.,104,54,1.4,2.75,Grass,1,1.4,2.75
1624,2002-06-24,Rusedski G.,Roddick A.,39,14,2.1,1.667,Grass,0,1.667,2.1
1625,2002-06-24,Sa A.,Saretta F.,90,71,2.25,1.571,Grass,0,1.571,2.25
1626,2002-06-24,Schalken S.,Morrison J.,23,98,1.25,3.75,Grass,1,1.25,3.75
1627,2002-06-24,Vacek J.,Voinea A.,80,63,2.0,1.727,Grass,0,1.727,2.0
1628,2002-06-24,Youzhny M.,Escude N.,61,33,2.625,1.444,Grass,0,1.444,2.625
1629,2002-06-24,Henman T.,Kratochvil M.,5,45,1.125,5.5,Grass,1,1.125,5.5
1630,2002-06-24,Hewitt L.,Youzhny M.,1,61,1.111,6.0,Grass,1,1.111,6.0
1631,2002-06-24,Krajicek R.,Philippoussis M.,1093,104,2.375,1.533,Grass,0,1.533,2.375
1632,2002-06-24,Lapentti N.,Clement A.,27,38,3.0,1.364,Grass,0,1.364,3.0
1633,2002-06-24,Malisse X.,Rusedski G.,35,39,2.25,1.571,Grass,0,1.571,2.25
1634,2002-06-24,Nalbandian D.,Arthurs W.,32,89,3.5,1.286,Grass,0,1.286,3.5
1635,2002-06-24,Sa A.,Lopez F.,90,103,2.1,1.667,Grass,0,1.667,2.1
1636,2002-06-24,Schalken S.,Vacek J.,23,80,1.222,4.0,Grass,1,1.222,4.0
1637,2002-06-24,Henman T.,Sa A.,5,90,1.111,6.0,Grass,1,1.111,6.0
1638,2002-06-24,Hewitt L.,Schalken S.,1,23,1.125,5.5,Grass,1,1.125,5.5
1639,2002-06-24,Malisse X.,Krajicek R.,35,1093,2.1,1.667,Grass,0,1.667,2.1
