,inverted_log_rank_p1,rank_diff_binned,log_odd_ratio,surface_Clay,surface_Hard,surface_Grass,h2h_binned,consecutive_wins_p1,consecutive_wins_p2,consecutive_losses_p1,consecutive_losses_p2,consecutive_results,rank_evol_p1_binned,rank_evol_p2_binned,rank_combined_binned,odd_p1,odd_p2
35103,0.29401410379520604,5,1.3401049786505161,0,0,1,1,0.5,1,1,0.0,1,0,0,5,1.44,2.62
15888,0.20780583746414044,5,1.3773256911371303,0,1,0,0,0.5,1,0,0.0,0,1,0,6,1.4,2.75
18378,0.48089834696298783,7,2.2562447557353433,0,1,0,0,0.5,1,1,0.0,1,0,0,7,1.06,8.0
16051,0.5581106265512472,8,1.7714394667370974,0,0,1,0,0.5,1,1,0.5,1,0,1,7,1.16,4.5
3230,0.29401410379520604,9,1.8522983137736986,1,0,0,0,1.0,1,1,0.0,1,0,0,9,1.143,5.0
19100,0.30692767643013485,13,2.3581549441488563,0,1,0,0,0.5,1,1,0.0,0,0,0,13,1.05,9.0
9606,0.21959311237518594,4,1.233469765560689,1,0,0,0,0.5,1,1,0.0,1,0,0,4,1.57,2.25
22316,0.35295612386476116,12,2.0022101937438457,0,1,0,0,0.5,1,0,0.0,0,0,0,12,1.11,6.0
4272,0.24044917348149392,10,1.3401049786505161,0,1,0,0,0.5,1,1,0.0,1,0,0,10,1.44,2.62
27483,0.2530848692773169,2,1.3773256911371303,1,0,0,0,0.5,1,1,1.0,1,1,1,2,1.4,2.75
6604,0.5138983423697507,5,1.3401049786505161,0,1,0,0,0.5,1,0,0.0,0,0,0,6,1.44,2.62
3852,0.22334705684109696,0,1.2126041772712242,0,1,0,0,0.5,1,1,0.0,0,0,0,0,1.615,2.2
25091,0.2835784920513334,7,1.7714394667370974,0,0,1,0,1.0,1,1,0.0,1,0,0,7,1.16,4.5
8596,0.4170323914242463,3,1.2138616364551833,0,1,0,0,0.5,0,1,0.0,0,0,0,3,1.61,2.2
36732,0.2506903984389969,2,1.183278213083103,1,0,0,0,0.5,1,1,0.0,0,0,0,2,1.66,2.1
15672,0.32351545314867247,7,1.8541025998021905,0,1,0,0,0.5,1,1,1.0,1,0,0,8,1.14,5.0
1901,0.2473379469500514,7,1.1816499072354991,1,0,0,0,0.5,1,1,0.0,1,0,0,7,1.667,2.1
16818,0.2769378934088574,11,1.6636776813710972,0,1,0,0,0.5,1,0,0.0,0,1,1,11,1.22,4.0
16010,0.4170323914242463,9,1.4364841056437456,0,1,0,1,1.0,1,1,0.0,1,0,0,9,1.36,3.0
